ra,dec,x_image,y_image,mjd,flux_bkg,local_bkg_flg,flags,fit_ql,deep_flg,det_id,lvf_id,obs_publisher_did,lambda,lambda_width,flux,flux_err
217.62,57.02,1500.0,1300.0,60700.0,0.16,False,2097152,1.05,False,1,202000000000000,ivo://example/spherex?gal_0002_0_0,0.76,0.025,361.649,21.1849
217.62,57.02,1501.0,1301.0,60701.0,0.16,False,2097152,1.05,False,2,202000000000000,ivo://example/spherex?gal_0002_0_1,0.76,0.025,341.1568,21.1849
217.62,57.02,1502.0,1302.0,60702.0,0.16,False,2097152,1.05,False,3,202000000000000,ivo://example/spherex?gal_0002_0_2,0.76,0.025,340.2512,21.1849
217.62,57.02,1500.0,1300.0,60700.5,0.16,False,2097152,1.05,False,1,202000000000001,ivo://example/spherex?gal_0002_1_0,0.82172,0.025,412.9121,23.7128
217.62,57.02,1501.0,1301.0,60701.5,0.16,False,2097152,1.05,False,2,202000000000001,ivo://example/spherex?gal_0002_1_1,0.82172,0.025,440.3488,23.7128
217.62,57.02,1502.0,1302.0,60702.5,0.16,False,2097152,1.05,False,3,202000000000001,ivo://example/spherex?gal_0002_1_2,0.82172,0.025,406.9132,23.7128
217.62,57.02,1500.0,1300.0,60701.0,0.16,False,2097152,1.05,False,1,202000000000002,ivo://example/spherex?gal_0002_2_0,0.88345,0.025,428.1221,27.6494
217.62,57.02,1501.0,1301.0,60702.0,0.16,False,2097152,1.05,False,2,202000000000002,ivo://example/spherex?gal_0002_2_1,0.88345,0.025,475.3381,27.6494
217.62,57.02,1502.0,1302.0,60703.0,0.16,False,2097152,1.05,False,3,202000000000002,ivo://example/spherex?gal_0002_2_2,0.88345,0.025,499.0824,27.6494
217.62,57.02,1500.0,1300.0,60701.5,0.16,False,2097152,1.05,False,1,202000000000003,ivo://example/spherex?gal_0002_3_0,0.94517,0.025,505.0576,31.4904
217.62,57.02,1501.0,1301.0,60702.5,0.16,False,2097152,1.05,False,2,202000000000003,ivo://example/spherex?gal_0002_3_1,0.94517,0.025,495.0005,31.4904
217.62,57.02,1502.0,1302.0,60703.5,0.16,False,2097152,1.05,False,3,202000000000003,ivo://example/spherex?gal_0002_3_2,0.94517,0.025,542.8692,31.4904
217.62,57.02,1500.0,1300.0,60702.0,0.16,False,2097152,1.05,False,1,202000000000004,ivo://example/spherex?gal_0002_4_0,1.0069,0.025,555.794,34.0162
217.62,57.02,1501.0,1301.0,60703.0,0.16,False,2097152,1.05,False,2,202000000000004,ivo://example/spherex?gal_0002_4_1,1.0069,0.025,584.9123,34.0162
