# sedfit optical emission-line list; rest VACUUM wavelength [A]
# component            wave_vac_A
[OII]3727                3727.092
[OII]3730                3729.875
[NeIII]3869              3869.856
Hdelta                   4102.892
Hgamma                   4341.684
[OIII]4363               4364.436
HeII4686                 4687.015
Hbeta                    4862.683
[OIII]4959               4960.295
[OIII]5007               5008.240
[OI]6300                 6302.046
[OI]6364                 6365.535
[NII]6548                6549.860
Halpha                   6564.608
[NII]6584                6585.271
[SII]6716                6718.295
[SII]6731                6732.674
[ArIII]7136              7137.757
[SIII]9069               9071.100
[SIII]9531               9533.200
