# sedfit rest-UV + optical emission-line list; rest VACUUM wavelength [A]
# component            wave_vac_A
Lyalpha                  1215.670
NIV]1486                 1486.500
CIV1548                  1548.200
CIV1550                  1550.781
HeII1640                 1640.420
OIII]1661                1660.809
OIII]1666                1666.150
[NeIII]1815              1814.645
AlIII1855                1854.718
AlIII1863                1862.791
[CIII]1907               1906.683
CIII]1909                1908.734
NII]2143                 2143.450
MgII2796                 2796.352
MgII2803                 2803.531
[OII]3727                3727.092
[OII]3730                3729.875
[NeIII]3869              3869.856
Hdelta                   4102.892
Hgamma                   4341.684
[OIII]4363               4364.436
HeII4686                 4687.015
Hbeta                    4862.683
[OIII]4959               4960.295
[OIII]5007               5008.240
[OI]6300                 6302.046
[OI]6364                 6365.535
[NII]6548                6549.860
Halpha                   6564.608
[NII]6584                6585.271
[SII]6716                6718.295
[SII]6731                6732.674
[ArIII]7136              7137.757
[SIII]9069               9071.100
[SIII]9531               9533.200
